scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-118.177872, 37.385539)"
Pinus longaeva D.K.Bailey,"c(-118.171486, 37.385003)"
Pinus longaeva D.K.Bailey,"c(-114.254963, 38.93986)"
Pinus longaeva D.K.Bailey,"c(-114.254963, 38.93986)"
Pinus longaeva D.K.Bailey,"c(-112.161965, 37.614998)"
Pinus longaeva D.K.Bailey,"c(-114.240328, 38.986544)"
Pinus longaeva D.K.Bailey,"c(-112.277778, 37.708314)"
Pinus longaeva D.K.Bailey,"c(-118.179397, 37.387478)"
Pinus longaeva D.K.Bailey,"c(-112.171032, 37.617588)"
Pinus longaeva D.K.Bailey,"c(-115.650075, 36.235036)"
Pinus longaeva D.K.Bailey,"c(-115.65833, 36.23855)"
Pinus longaeva D.K.Bailey,"c(-112.235458, 37.470337)"
Pinus longaeva D.K.Bailey,"c(-118.178271, 37.386603)"
Pinus longaeva D.K.Bailey,"c(-112.236023, 37.470864)"
Pinus longaeva D.K.Bailey,"c(-112.844575, 37.610375)"
Pinus longaeva D.K.Bailey,"c(-114.306228, 39.005589)"
Pinus longaeva D.K.Bailey,"c(-114.304947, 39.001786)"
Pinus longaeva D.K.Bailey,"c(-114.305053, 39.001461)"
Pinus longaeva D.K.Bailey,"c(-118.178481, 37.385555)"
Pinus longaeva D.K.Bailey,"c(-118.164903, 37.379078)"
Pinus longaeva D.K.Bailey,"c(-118.168838, 37.385575)"
Pinus longaeva D.K.Bailey,"c(-118.178112, 37.385633)"
Pinus longaeva D.K.Bailey,"c(-118.178621, 37.385503)"
Pinus longaeva D.K.Bailey,"c(-118.178683, 37.384544)"
Pinus longaeva D.K.Bailey,"c(-118.1763, 37.384855)"
Pinus longaeva D.K.Bailey,"c(-118.175415, 37.384942)"
Pinus longaeva D.K.Bailey,"c(-118.175413, 37.384983)"
Pinus longaeva D.K.Bailey,"c(-118.175415, 37.384983)"
Pinus longaeva D.K.Bailey,"c(-118.175415, 37.384983)"
Pinus longaeva D.K.Bailey,"c(-118.174607, 37.385067)"
Pinus longaeva D.K.Bailey,"c(-118.174553, 37.385128)"
Pinus longaeva D.K.Bailey,"c(-118.172469, 37.382585)"
Pinus longaeva D.K.Bailey,"c(-118.173257, 37.385223)"
Pinus longaeva D.K.Bailey,"c(-118.172553, 37.385132)"
Pinus longaeva D.K.Bailey,"c(-118.172127, 37.385105)"
Pinus longaeva D.K.Bailey,"c(-118.171478, 37.384972)"
Pinus longaeva D.K.Bailey,"c(-118.171928, 37.383203)"
Pinus longaeva D.K.Bailey,"c(-118.172272, 37.381748)"
Pinus longaeva D.K.Bailey,"c(-118.172272, 37.381747)"
Pinus longaeva D.K.Bailey,"c(-118.172958, 37.38039)"
Pinus longaeva D.K.Bailey,"c(-118.171738, 37.379173)"
Pinus longaeva D.K.Bailey,"c(-118.170555, 37.379002)"
Pinus longaeva D.K.Bailey,"c(-118.163644, 37.378005)"
Pinus longaeva D.K.Bailey,"c(-118.165886, 37.377205)"
Pinus longaeva D.K.Bailey,"c(-118.162025, 37.378658)"
Pinus longaeva D.K.Bailey,"c(-118.16185, 37.379795)"
Pinus longaeva D.K.Bailey,"c(-118.16185, 37.379795)"
Pinus longaeva D.K.Bailey,"c(-118.16185, 37.379795)"
Pinus longaeva D.K.Bailey,"c(-118.16185, 37.379795)"
Pinus longaeva D.K.Bailey,"c(-118.162475, 37.380078)"
Pinus longaeva D.K.Bailey,"c(-118.163338, 37.379753)"
Pinus longaeva D.K.Bailey,"c(-118.163339, 37.379753)"
Pinus longaeva D.K.Bailey,"c(-118.164948, 37.379047)"
Pinus longaeva D.K.Bailey,"c(-118.166535, 37.379487)"
Pinus longaeva D.K.Bailey,"c(-118.165893, 37.380878)"
